"","AccessionName","control_dGP","control_GPF","control_GPI","control_L4A","control_L4DM","control_L4FM","control_LeafElongationFactor","control_LeafHorizWidth","control_LeafPerimeter","control_LeafSucculence","control_LeafVertLength","control_LK","control_LNa","control_RDM","control_RFM","control_RK","control_RL","control_RNa","control_SDM","control_SFM","control_SL","control_ST","control_TDM","control_TFM","control_WC","control_WCn","relative_DG","relative_dGP","relative_DH","relative_DL4","relative_GPF","relative_GPI","relative_L4A","relative_L4DM","relative_L4FM","relative_LeafElongationFactor","relative_LeafHorizWidth","relative_LeafPerimeter","relative_LeafSucculence","relative_LeafVertLength","relative_LK","relative_LN","relative_LNa","relative_RDM","relative_RFM","relative_RK","relative_RL","relative_RNa","relative_SDM","relative_SFM","relative_SL","relative_ST","relative_TDM","relative_TFM","relative_WC","relative_WCn","salt_dGP","salt_GPF","salt_GPI","salt_L4A","salt_L4DM","salt_L4FM","salt_LeafElongationFactor","salt_LeafHorizWidth","salt_LeafPerimeter","salt_LeafSucculence","salt_LeafVertLength","salt_LK","salt_LNa","salt_RDM","salt_RFM","salt_RK","salt_RL","salt_RNa","salt_SDM","salt_SFM","salt_SL","salt_ST","salt_TDM","salt_TFM","salt_WC","salt_WCn","T0_GPI","T0_RDM","T0_RFM","T0_RL","T0_SDM","T0_SFM","T0_SL","T0_ST","T0_TDM","T0_TFM","T0_WC","T0_WCn"
"32","LA0932",5,5,6,6,6,4,6,5,6,6,4,6,6,6,5,6,6,5,4,6,6,6,4,6,6,4,6,6,5,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,5,6,5,5,6,6,6,6,6,6,6,5,6,6,6,6,6,6,5,6,6,6,6,5,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5
"33","LA1035",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,5,6,6,6,5,6,5,5,5,5,5,4,5,5,4,6,5,6,6,6,6,6,5,6,6,5,5,6,6,6,5,6,6,5,5,5,5,4,4,5,5,5,6,6,6,6,4,6,6,5,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"34","LA1037",6,6,6,6,6,6,6,6,6,6,6,6,4,6,4,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,4,6,5,6,5,6,5,6,5,5,6,6,6,5,6,6,6,6,6,6,6,6,6,5,5,5,6,6,5,6,6,6,6,6,6,6,6,5,6,5,6,6,6,6,6,6,6,6,6
"35","LA1039",4,4,6,5,4,5,6,6,5,6,5,5,6,4,5,5,6,5,6,5,6,6,6,6,6,6,6,5,6,5,5,6,5,5,5,5,6,6,5,5,6,5,6,5,3,6,5,5,6,5,6,6,6,5,5,4,6,6,6,5,5,5,6,5,6,5,5,6,5,4,4,6,6,6,5,6,6,6,5,5,6,5,6,5,6,5,5,5,5,6,5,5,5,5
"36","LA1040",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,6,6,6,6,6,6,6,6,6,6,5,4,6,6,5,6,6,5,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,5,4,6,6,6,5,6,5,6,5,6,6,5,5,5,6,6,6,6,6,6,6,6,6,6
"37","LA1041",6,6,6,4,5,5,4,5,4,5,5,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,5,5,6,6,6,6,6,6,6,6,5,6,5,6,6,5,5,5,6,6,5,5,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,5,6,5,5,6,6,5,5,5,6
"38","LA1042",6,6,5,4,6,6,6,6,6,6,6,5,6,6,6,6,6,6,5,6,6,6,6,6,6,5,6,5,6,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,2,6,6,6,6,6,6,6,6,6,6,6
"39","LA1043",6,6,5,6,5,5,5,6,5,6,5,6,6,6,6,6,6,5,6,6,6,5,6,6,6,6,6,5,6,4,5,6,6,6,6,6,6,5,6,6,5,6,5,6,5,6,6,5,6,6,4,6,6,6,6,6,4,5,6,5,6,5,6,5,5,5,4,5,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,5,6,6,6,6,6,6,5
"40","LA1044",6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,4,4,6,6,6,4,6,6,6,6,5,6,6,5,5,6,5,6,6,6,6,5,6,5,6,5,4,6,5,4,5,6,6,6,5,6,6,6,6,5,5,5,6,5,6,6,6,6,5,6,5,5,5,6,5,6,5,6,6,6,5,6,6,6,5,6,5,5,6,6,6,6,6,6,6,6,6
"41","LA1136",6,6,6,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"42","LA1137",6,6,6,6,6,6,6,5,6,5,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,5,6,5,4,5,5,4,5,6,5,6,6,6,6,6,6,5,5,6,6,5,5,5,6,6,6,6,5,6,6,5,5,5,4,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,6,4,5,6,6,6,6
"43","LA1138",6,6,6,6,5,6,6,5,5,6,5,5,4,6,6,5,6,5,6,6,5,6,6,6,6,6,6,6,6,5,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,5,5,6
"44","LA1139",6,6,5,6,6,6,6,6,6,5,6,5,6,6,6,6,6,6,6,6,5,6,5,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,4,6,4,5,6,4,6,6,6,6,6,6,6,6,5,6,6,5,6,5,6,6,6,6,6,5,6,6,6,6,6,5,5,5,4,6,6,6,6,6,6,5,5,5,6,6,6,5,6,6,6,6,6
"45","LA1141",4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,4,4,5,5,5,4,5,5,5
"46","LA1400",5,5,6,5,5,6,6,6,6,5,6,4,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,6,6,6,4,5,6,5,6,5,6,5,6,5,6,5,6,6,6,6,6,6,5,6,4,6,4,4,5,6,5,5,4,5,5,3,6,6,6,5,6,6,5,6,5,6,6,6,5,6,5,5,6,6,6,6,6,6,6,6,6
"47","LA1401",6,6,6,4,6,5,6,6,5,5,6,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,5,6,6,6,6,6,6,5,6,6,6,6,6,6,4,6,5,5,5,6,5,6,6,6,4,4,5,6,6,4,5,5,6,6,6,5,6,6,6
"48","LA1403",6,6,5,5,6,6,6,6,6,5,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,5,6,6,5,6,5,6,6,6,6,6,5,5,6,6,5,6,6,6,6,6,5,5,6,6,6,6,6,6,3,5,6,6,6,6,6,6,6,5,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6
"49","LA1404",6,6,6,6,6,6,6,6,6,6,6,6,6,4,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,6,6,4,4,4,4,4,5,5,6,6,6,6,6,6,6,6,6,5,6,6,6,4,6,5,5,5,6,6,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"50","LA1406",6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,4,6,6,6,6,6,6,6,5,6,5,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6,6,6,6,5
"51","LA1407",5,5,6,6,6,6,5,6,6,6,6,6,6,6,6,6,5,6,6,6,5,6,6,6,6,6,6,5,6,6,5,5,5,4,4,4,5,5,5,5,4,6,4,6,6,6,6,6,6,5,4,6,6,5,5,6,5,5,6,5,4,5,5,5,5,5,5,3,5,6,6,6,6,6,6,5,5,6,6,5,5,6,5,6,6,6,6,6,5,6,6,6,6,6
"52","LA1408",5,5,6,6,5,5,5,6,6,6,5,5,6,5,5,4,6,6,5,6,6,6,6,5,5,6,6,4,6,6,6,6,5,6,6,4,6,6,6,6,5,5,6,6,6,6,5,6,6,6,6,6,6,6,6,5,6,6,4,5,5,5,6,6,6,6,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,5,5,5,6,5,5,5,6
"53","LA1409",6,6,6,6,5,5,5,6,6,5,6,6,6,4,5,5,6,6,6,6,6,5,5,5,5,4,6,6,6,5,6,6,6,6,6,6,6,6,5,6,6,5,6,6,6,5,5,6,6,6,5,4,6,6,6,6,6,6,6,5,6,5,6,6,5,6,5,6,5,6,6,5,5,4,5,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6
"54","LA1410",6,6,6,6,6,6,6,6,6,6,6,6,6,4,6,6,4,5,5,6,6,6,5,6,6,6,6,6,6,6,6,6,5,4,5,5,5,4,5,5,6,5,6,5,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,4,6,6,5,5,4,5,5,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,3,6,6,6,6,6,6,6,6,6,6,6
"55","LA1411",6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6
"56","LA1412",5,5,5,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,4,6,6,6,6,6,6,5,6,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,5,4,6,5,6,6,6,6,4,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6
"57","LA1414",6,6,5,6,6,6,6,6,5,5,6,6,6,6,6,6,5,6,6,6,6,5,6,6,6,4,6,5,6,6,5,5,6,6,6,6,6,4,6,4,4,6,5,6,6,5,5,6,6,6,5,5,6,6,6,5,5,5,6,6,6,6,6,6,4,6,6,4,5,6,6,6,5,5,5,5,6,6,5,6,6,5,5,6,6,5,6,6,6,6,6,6,6,5
"58","LA1427",5,5,6,6,6,6,6,6,6,5,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,5,6,6,6,5,6,6,6,6,6,6,6,5,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"59","LA1447",6,6,6,4,6,4,5,3,5,4,3,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,4,5,6,6,5,5,5,5,5,6,5,6,5,5,6,6,4,5,4,6,5,4,4,4,4,6,6,6,6,6,6,6,6,6,5,5,6,6,6,5,6,6,6,6,6,6,5,6,6,6,6,5,5,5,6,6,5,6,5,5,5,5,5
"60","LA1448",6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,4,6,5,5,6,6,5,6,6,6,6,6,5,6,6,5,6,5,5,5,6,6,6,6,6,6,5,6,6,5,6,6,5,5,5,5,6,5,5,5,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6
"61","LA1449",6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,5,6,6,6,6,6,6,6,6,6,6,6,5,6,6,5,6,6,6,6,6,6,6,6,6,5,4,6,6,6,5,5,6,6,5,6,6,6,5,5,5,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,4,6,6,5,5,5,5,6,6,5,5,5,5
"62","LA1450",5,5,5,6,6,5,6,6,5,6,5,6,6,5,6,6,6,6,5,5,6,5,6,5,5,6,6,5,6,5,6,6,6,5,6,6,6,6,4,6,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,6,4,6,6,6,6,4,6,5,5,5,6,5,5,6,5,5,6,6,5,5,5,5,6,6,6,5,6,5,6,6,6,5,5,6
"63","LA1452",6,6,6,4,6,6,6,6,6,6,5,6,6,5,5,5,6,6,6,5,6,6,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,6,6,6,5,6,6,6,5,5,5,6,5,5,4,6,6,5,6,6,6,6,6,6,6,5,5,6,5,6,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5
"64","LA1508",6,6,6,6,6,6,6,5,5,4,6,6,5,5,5,5,6,6,5,5,6,6,5,5,5,6,6,6,6,5,6,6,6,6,6,6,6,6,5,6,6,6,5,6,6,6,5,6,5,6,6,6,6,5,6,5,6,6,6,6,6,6,5,6,6,5,6,6,6,6,6,5,5,5,6,6,5,6,6,6,6,6,4,5,6,6,6,6,6,6,6,6,6,5
"65","LA1627",5,5,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,5,6,6,6,5,6,6,5,5,6,6,6,4,6,6,5,6,6,6,6,5,6,6,6,5,5,4,6,6,5,5,6,5,6,6,6,4,6,4,6,6,5,6,6,6,5,4,6,6,5,4,4,6,5,6,6,6,6,6,6,6,6,6,6,5
"66","LA1815",6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6
"67","LA2706",6,6,6,4,4,6,6,6,6,6,6,5,6,6,6,6,5,6,6,6,6,6,6,6,6,5,6,6,6,6,5,5,6,6,6,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,4,5,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6
"68","LA3124",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6,5,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,5,6,6,6,4,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,5,6,6,6,6,5,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6
"69","LA4345",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,5,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,5,6,6,5,6,6,6,6,6,5,5,6,6,5,5,5,6,6,6,6,4,6,6,6,5,6,6,6,6
"70","VF36",5,5,6,6,5,6,6,5,6,5,5,5,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,5,6,6,6,5,5,5,5,6,5,5,6,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
